iter	AUC	Logloss
853	0.9524745345	0.1333610472
854	0.9524882436	0.1333025425
855	0.9525138736	0.1332794866
856	0.9525125623	0.1332748499
857	0.9525472522	0.1332362925
858	0.9525559545	0.1332111781
859	0.9525824785	0.133158594
860	0.9526158571	0.1331120046
861	0.9526143074	0.1330882166
862	0.9526153207	0.1330527467
863	0.9526154995	0.1330398871
864	0.9526427388	0.1330128417
865	0.9526802897	0.1329659765
866	0.9527041316	0.1329348462
867	0.9527088404	0.1329139547
868	0.9528036118	0.1328538692
869	0.9528059363	0.1328482139
870	0.9528055787	0.1328474606
871	0.9528275728	0.1328266328
872	0.9528433383	0.1328035556
873	0.9528620243	0.1327724253
874	0.9528889656	0.132734218
875	0.9529015422	0.1327031513
876	0.9529008865	0.1326873846
877	0.952904582	0.1326771139
878	0.952903986	0.1326727849
879	0.952904582	0.1326470128
880	0.9529066086	0.1326433629
